lat,lon,nombre
37.3430521,-5.9686301,8
37.3573603,-6.0029771,12
37.2364493,-5.3762811,nodo_250138512
37.4182166,-5.9180437,535
37.4339843,-5.8768247,530
37.4205288,-5.9127067,533
37.4308231,-5.8211888,524
37.4694633,-5.7110875,514
37.4321974,-5.8326971,526
37.4838156,-5.5336534,nodo_250720307
37.4828146,-5.546265,498
37.4814182,-5.5653936,500
37.2693415,-5.9713867,553
37.3887421,-6.0285366,0A
37.3893362,-6.0225785,0A
37.3592,-6.1450748,11
37.3616199,-6.2034714,16
36.7131297,-4.4685255,68
36.7139366,-4.4784913,68
36.6551709,-4.4770624,1
37.8354655,-4.7926603,408
36.9712469,-4.4440356,114
36.586568,-4.5980277,1008
36.571626,-4.6251425,1011
36.5618919,-4.6214754,1012
36.541546,-4.6350615,1016
36.5756406,-4.6180244,1010
